Name,Team(s),G,AB,H,2B,3B,HR,BB,SB,AVG,OBP,SLG,BFW,G2,PO,A,E,DP,AVG3,Games,Played
Jo Adell,ANA,A,130,405,84,15,2,20,35,15,0.207,0.28,0.402,-1.5,123,234,3,4,0,0.983,"RF119,DH5,CF4"
Wilyer Abreu,BOS,A,132,399,101,33,2,15,40,8,0.253,0.322,0.459,0.8,130,222,9,7,2,0.971,"RF125,LF5,CF1,DH1"
Fernando Tatis,SD,N,102,398,110,21,1,21,32,11,0.276,0.34,0.492,1.3,96,171,6,5,1,0.973,"RF96,DH4"
Wenceel Perez,DET,A,112,389,94,16,6,9,32,9,0.242,0.3,0.383,-1.5,105,189,1,2,0,0.99,"RF83,CF29,LF4,DH4"
Hunter Renfroe,KC,A,120,385,88,18,0,15,36,1,0.229,0.297,0.392,-0.9,116,200,9,2,2,0.991,"RF116,DH3,1B1"
Mitch Haniger,SEA,A,121,380,79,12,0,12,40,0,0.208,0.286,0.334,-1.4,90,162,4,5,0,0.971,"RF90,DH25"
Max Kepler,MIN,A,105,368,93,21,1,8,22,1,0.253,0.302,0.38,-0.8,103,172,4,0,1,1,"RF103,DH1"
Josh Lowe,TB,A,106,353,85,19,2,10,32,25,0.241,0.302,0.391,0.3,92,189,2,4,1,0.979,"RF79,LF15,DH8,CF2"
Jake Fraley,CIN,N,116,350,97,19,2,5,26,20,0.277,0.33,0.386,0.2,100,193,4,2,0,0.99,"RF97,DH8,LF5,CF2"
Lars Nootbaar,STL,N,109,348,85,18,3,12,52,7,0.244,0.342,0.417,0.2,107,209,2,3,2,0.986,"RF74,LF30,CF24"
Starling Marte,NY,N,94,335,90,13,3,7,27,16,0.269,0.327,0.388,0.1,85,138,6,2,2,0.986,"RF85,DH9"
Jonny DeLuca,TB,A,107,332,72,12,4,6,24,16,0.217,0.278,0.331,-0.6,97,219,6,2,2,0.991,"RF57,CF43,LF12,DH2"
Will Brennan,CLE,A,114,330,87,13,2,8,19,4,0.264,0.309,0.388,-0.7,98,157,2,2,0,0.988,"RF80,LF18,DH12,CF8"
Jake Cave,COL,N,123,323,81,16,5,7,18,5,0.251,0.29,0.396,-1.1,116,184,5,1,1,0.995,"RF92,LF32,CF5,DH1"
Tyrone Taylor,NY,N,130,319,79,22,3,7,19,11,0.248,0.299,0.401,0,113,193,3,3,0,0.985,"RF70,CF44,LF21,DH7"
Mike Tauchman,CHI,N,109,298,74,12,1,7,47,6,0.248,0.357,0.366,0.1,75,113,1,1,1,0.991,"RF51,DH21,LF16,CF15"
Kyle Tucker,HOU,A,78,277,80,13,0,23,56,11,0.289,0.408,0.585,3,70,124,4,0,2,1,"RF70,DH8"
Kerry Carpenter,DET,A,87,264,75,16,5,18,22,0,0.284,0.345,0.587,1.9,47,88,5,1,0,0.989,"RF45,DH35,LF3"
Randal Grichuk,ARI,N,106,254,74,20,2,12,20,0,0.291,0.348,0.528,1.2,57,97,1,0,0,1,"RF43,DH41,LF14"
David Peralta,SD,N,91,236,63,11,0,8,22,2,0.267,0.335,0.415,-0.2,65,87,1,1,0,0.989,"RF54,DH16,LF11"
Dominic Fletcher,CHI,A,72,223,46,8,0,1,11,0,0.206,0.252,0.256,-0.9,71,165,8,6,1,0.966,"RF43,CF29,LF1"
